,id,tecnologie,type
0,1,jira,project planning and management
1,2,confluence,project planning and management
2,3,ms project,project planning and management
3,4,scrumdesk,project planning and management
4,5,agile,software development methodologies
5,6,scrum,software development methodologies
6,7,kamban,software development methodologies
7,8,scrumban,software development methodologies
8,9,rup,software development methodologies
9,10,dsdm,software development methodologies
10,11,mysql workbench,database modeling tools
11,12,dbvisualizer,database modeling tools
12,13,oracle sqldeveloper,database modeling tools
13,14,toa,database modeling tools
14,15,rest api,web services
15,16,apache cxf,web services
16,17,axis,web services
17,18,soap,web services
18,19,wsdl,web services
19,20,jaxb,web services
20,21,jax-ws,web services
21,22,apache kafka,messaging middleware
22,23,activemq,messaging middleware
23,24,ibm mq series,messaging middleware
24,25,rational rose,uml tools and techniques
25,26,ms visio,uml tools and techniques
26,27,netbeans,uml tools and techniques
27,28,open office draw,uml tools and techniques
28,29,star uml,uml tools and techniques
29,30,together,uml tools and techniques
30,31,matrix,uml tools and techniques
31,32,brainstorming,"software analysis, arhitecture and design"
32,33,mind-map,"software analysis, arhitecture and design"
33,34,design patterns,"software analysis, arhitecture and design"
34,35,git,versioning control
35,36,svn,versioning control
36,37,rational clearcase,versioning control
37,38,rational synergy,versioning control
38,39,ms visual source safe,versioning control
39,40,oracle�,database
40,41,mysql�,database
41,42,microsoft sql server�,database
42,43,postgresql�,database
43,44,mongodb�,database
44,45,redis�,database
45,46,ibm db2,database
46,47,elasticsearch,database
47,48,sqlite�,database
48,49,microsoft access,database
49,50,cassandra�,database
50,51,snowflake�,database
51,52,mariadb�,database
52,53,splunk,database
53,54,amazon dynamodb�,database
54,55,microsoft azure sql database,database
55,56,hive,database
56,57,teradata,database
57,58,databricks,database
58,59,neo4j�,database
59,60,filemaker,database
60,61,google bigquery�,database
61,62,sap hana�,database
62,63,solr,database
63,64,sap adaptive server,database
64,65,hbase,database
65,66,microsoft azure cosmos db�,database
66,67,postgis,database
67,68,influxdb�,database
68,69,couchbase�,database
69,70,memcached,database
70,71,firebird,database
71,72,amazon redshift�,database
72,73,microsoft azure synapse analytics,database
73,74,informix,database
74,75,spark sql,database
75,76,impala,database
76,77,firebase realtime database,database
